Locus tag,in cgMLST ?,Length,EC number,KO number,Gene Name,Function,N_allele,CDS,Pseudogene,missing,% presence,% pseudogenes,,,,
CFSAN002050_RS14575,accessory_gene,327,,,,phage protein,25,126,0,3018,4%,0%,,,,
CFSAN002050_RS14600,accessory_gene,1743,,,,phage terminase large subunit,136,280,2,2862,9%,1%,,,,
CFSAN002050_RS14670,accessory_gene,195,,,,hypothetical protein,30,134,3,3007,4%,2%,,,,
CFSAN002050_RS14700,accessory_gene,216,,K07729,,transcriptional regulator,6,14,0,3130,0%,0%,,,,
CFSAN002050_RS14765,accessory_gene,360,,,,hypothetical protein,7,52,0,3092,2%,0%,,,,
CFSAN002050_RS14785,accessory_gene,1314,,K14059,int,integrase,61,140,1,3003,4%,1%,,,,
CFSAN002050_RS15320,accessory_gene,753,,,,KilA,3,8,0,3136,0%,0%,,,,
CFSAN002050_RS15445,accessory_gene,1011,,,,tryptophan synthase subunit alpha,18,49,2,3093,2%,4%,,,,
CFSAN002050_RS15460,accessory_gene,2097,,,,hypothetical protein,22,50,0,3094,2%,0%,,,,
CFSAN002050_RS15840,accessory_gene,897,,,,O-antigen biosynthesis glycosyltransferase WbnK,17,121,0,3023,4%,0%,,,,
CFSAN002050_RS15845,accessory_gene,738,,,,glycosyl transferase,12,119,0,3025,4%,0%,,,,
CFSAN002050_RS15850,accessory_gene,1167,,,,polymerase,25,91,0,3053,3%,0%,,,,
CFSAN002050_RS15865,accessory_gene,1449,2.7.7.13,K00971,manC,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,59,219,0,2925,7%,0%,,,,
CFSAN002050_RS15885,accessory_gene,1125,,,,glycosyl transferase family 1,24,92,0,3052,3%,0%,,,,
CFSAN002050_RS15890,accessory_gene,1020,5.1.3.2,K01784,galE,UDP-glucose 4-epimerase GalE,19,92,0,3052,3%,0%,,,,
CFSAN002050_RS16090,accessory_gene,498,,,,hypothetical protein,69,414,9,2721,13%,2%,,,,
CFSAN002050_RS16130,accessory_gene,369,,,,hypothethical protein,27,280,5,2859,9%,2%,,,,
CFSAN002050_RS18645,accessory_gene,762,,,,hypothetical protein,8,38,0,3106,1%,0%,,,,
CFSAN002050_RS20480,accessory_gene,1002,,,,tyrosine recombinase XerD,2,36,1,3107,1%,3%,,,,
CFSAN002050_RS20485,accessory_gene,1644,,,,relaxase,6,38,1,3105,1%,3%,,,,
CFSAN002050_RS20500,accessory_gene,933,,,,hypothetical protein,12,68,0,3076,2%,0%,,,,
CFSAN002050_RS20505,accessory_gene,987,,,,DNA primase,5,40,0,3104,1%,0%,,,,
CFSAN002050_RS20510,accessory_gene,348,,,,hypothetical protein,3,39,0,3105,1%,0%,,,,
CFSAN002050_RS20515,accessory_gene,603,,,,hypothetical protein,6,38,1,3105,1%,3%,,,,
CFSAN002050_RS20520,accessory_gene,648,,,,hypothetical protein,4,40,0,3104,1%,0%,,,,
CFSAN002050_RS20525,accessory_gene,366,,,,hypothetical protein,4,40,0,3104,1%,0%,,,,
CFSAN002050_RS20535,accessory_gene,333,,,,hypothetical protein,4,39,1,3104,1%,3%,,,,
CFSAN002050_RS20650,accessory_gene,351,,,,DUF305 domain-containing protein,17,179,1,2964,6%,1%,,,,
CFSAN002050_RS20675,accessory_gene,900,,,,integrase,6,43,0,3101,1%,0%,,,,
CFSAN002050_RS20680,accessory_gene,699,,,,hypothetical protein,3,38,0,3106,1%,0%,,,,
CFSAN002050_RS20685,accessory_gene,546,,,,hypothetical protein,1,38,0,3106,1%,0%,,,,
CFSAN002050_RS20690,accessory_gene,1053,,K03502,umuC,DNA polymerase V subunit UmuC,7,40,1,3103,1%,2%,,,,
CFSAN002050_RS20700,accessory_gene,441,3.4.21.-,K03503,umuD,DNA polymerase subunit V,1,37,0,3107,1%,0%,,,,
CFSAN002050_RS20705,accessory_gene,900,,,,LysR family transcriptional regulator,2,37,0,3107,1%,0%,,,,
CFSAN002050_RS20710,accessory_gene,528,2.3.1.183,K03823,pat,phosphinothricin N-acetyltransferase,1,37,0,3107,1%,0%,,,,
CFSAN002050_RS20715,accessory_gene,1233,,,,membrane protein,2,37,0,3107,1%,0%,,,,
CFSAN002050_RS20720,accessory_gene,336,,,,transcriptional regulator,2,38,0,3106,1%,0%,,,,
CFSAN002050_RS20740,accessory_gene,354,,K03892,arsR,transcriptional regulator,3,38,0,3106,1%,0%,,,,
CFSAN002050_RS20745,accessory_gene,459,,K13638,zntR,Cd(II)/Pb(II)-responsive transcriptional regulator,1,37,0,3107,1%,0%,,,,
CFSAN002050_RS20750,accessory_gene,2451,,K01534,zntA,heavy metal translocating P-type ATPase,3,37,0,3107,1%,0%,,,,
CFSAN002050_RS20755,accessory_gene,300,,,,exported protein,1,37,0,3107,1%,0%,,,,
CFSAN002050_RS20765,accessory_gene,978,,K03733,xerC,tyrosine recombinase XerC,3,37,0,3107,1%,0%,,,,
CFSAN002050_RS20770,accessory_gene,438,3.4.21.-,K03503,umuD,DNA polymerase V subunit UmuD,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20785,accessory_gene,339,,,,membrane protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20795,accessory_gene,993,,,,integrating conjugative element protein,13,69,3,3072,2%,4%,,,,
CFSAN002050_RS20800,accessory_gene,399,,,,integrating conjugative element protein,6,64,0,3080,2%,0%,,,,
CFSAN002050_RS20805,accessory_gene,561,,,,hypothetical protein,2,37,1,3106,1%,3%,,,,
CFSAN002050_RS20810,accessory_gene,378,,,,acetyltransferase,3,41,0,3103,1%,0%,,,,
CFSAN002050_RS20825,accessory_gene,369,,,,hypothetical protein,5,41,0,3103,1%,0%,,,,
CFSAN002050_RS20830,accessory_gene,1500,,,,integrating conjugative element protein,28,89,0,3055,3%,0%,,,,
CFSAN002050_RS20835,accessory_gene,951,,,,integrating conjugative element protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20845,accessory_gene,357,,,,membrane protein,9,68,0,3076,2%,0%,,,,
CFSAN002050_RS20850,accessory_gene,387,,,,integrating conjugative element membrane protein,11,68,0,3076,2%,0%,,,,
CFSAN002050_RS20855,accessory_gene,243,,,,integrating conjugative element protein,9,69,0,3075,2%,0%,,,,
CFSAN002050_RS20860,accessory_gene,348,,,,raqprd family integrative conjugative element protein,11,68,0,3076,2%,0%,,,,
CFSAN002050_RS20865,accessory_gene,348,,,,hypothetical protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20870,accessory_gene,759,,,,integrating conjugative element membrane protein,29,88,0,3056,3%,0%,,,,
CFSAN002050_RS20880,accessory_gene,489,,,,hypothetical protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20885,accessory_gene,573,,K07448,mrr,restriction endonuclease,10,39,1,3104,1%,3%,,,,
CFSAN002050_RS20890,accessory_gene,534,,,,integrating conjugative element protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20900,accessory_gene,723,,,,integrating conjugative element protein,28,89,0,3055,3%,0%,,,,
CFSAN002050_RS20905,accessory_gene,759,,,,hypothetical protein,5,41,0,3103,1%,0%,,,,
CFSAN002050_RS20910,accessory_gene,666,,K02487,pilL,"integrating conjugative element protein PilL, PFGI-1 class",6,41,0,3103,1%,0%,,,,
CFSAN002050_RS20915,accessory_gene,438,,,,hypothetical protein,2,38,1,3105,1%,3%,,,,
CFSAN002050_RS20935,accessory_gene,555,,,,hypothetical protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20940,accessory_gene,714,,,,integrating conjugative element protein,1,38,0,3106,1%,0%,,,,
CFSAN002050_RS20945,accessory_gene,1239,,,,helix-turn-helix domain protein,2,38,0,3106,1%,0%,,,,
CFSAN002050_RS20950,accessory_gene,249,,,,hypothetical protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS20960,accessory_gene,711,,,,Protein of uncharacterised function (DUF2786),5,41,0,3103,1%,0%,,,,
CFSAN002050_RS20965,accessory_gene,1695,,,,chromosome partitioning protein ParB,8,41,0,3103,1%,0%,,,,
CFSAN002050_RS20975,accessory_gene,876,,K12055,parA,chromosome partitioning ATPase,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS21010,accessory_gene,2196,,,,hypothetical protein,14,30,0,3114,1%,0%,,,,
CFSAN002050_RS21015,accessory_gene,618,,,,hypothetical protein,34,127,0,3017,4%,0%,,,,
CFSAN002050_RS21025,accessory_gene,2328,,,,molecular chaperone DnaJ,35,118,1,3025,4%,1%,,,,
CFSAN002050_RS23790,accessory_gene,1035,,,,CHAT domain-containing protein,8,49,0,3095,2%,0%,,,,
CFSAN002050_RS24200,accessory_gene,879,,,,hypothetical protein,7,29,0,3115,1%,0%,,,,
CFSAN002050_RS24205,accessory_gene,522,,,,hypothetical protein,5,29,0,3115,1%,0%,,,,
CFSAN002050_RS24210,accessory_gene,1233,,,,hypothetical protein,7,42,0,3102,1%,0%,,,,
CFSAN002050_RS24215,accessory_gene,222,,,,hypothetical protein,5,42,0,3102,1%,0%,,,,
CFSAN002050_RS24225,accessory_gene,1128,,,,Protein of uncharacterised function (DUF3150),8,42,0,3102,1%,0%,,,,
CFSAN002050_RS24235,accessory_gene,978,,,,hypothetical protein,10,27,0,3117,1%,0%,,,,
CFSAN002050_RS24240,accessory_gene,378,,,,hypothetical protein,2,42,0,3102,1%,0%,,,,
CFSAN002050_RS24245,accessory_gene,873,,,,membrane protein,4,27,0,3117,1%,0%,,,,
CFSAN002050_RS24250,accessory_gene,1785,,,,DNA helicase,11,41,0,3103,1%,0%,,,,
CFSAN002050_RS24255,accessory_gene,873,,,,lipoprotein,10,41,0,3103,1%,0%,,,,
CFSAN002050_RS24260,accessory_gene,3189,,K12058,traN,conjugal transfer protein TraN,12,41,0,3103,1%,0%,,,,
CFSAN002050_RS24270,accessory_gene,1512,,K12061,traW,conjugal transfer protein,9,42,0,3102,1%,0%,,,,
CFSAN002050_RS24275,accessory_gene,513,,K12062,trbI,signal peptidase I,5,43,0,3101,1%,0%,,,,
CFSAN002050_RS24285,accessory_gene,555,,,,HtdK,6,29,0,3115,1%,0%,,,,
CFSAN002050_RS24290,accessory_gene,426,,,,HtdF,6,29,0,3115,1%,0%,,,,
CFSAN002050_RS24295,accessory_gene,453,,,,transfer repressor,6,44,0,3100,1%,0%,,,,
CFSAN002050_RS24300,accessory_gene,639,,,,ParR,8,26,0,3118,1%,0%,,,,
CFSAN002050_RS24310,accessory_gene,948,,,,trhO,11,44,0,3100,1%,0%,,,,
CFSAN002050_RS24315,accessory_gene,837,,,,hypothetical protein,11,29,0,3115,1%,0%,,,,
CFSAN002050_RS24320,accessory_gene,522,,,,lipoprotein,7,29,0,3115,1%,0%,,,,
CFSAN002050_RS24330,accessory_gene,1005,,K03497,parB,peptide transporter,13,35,0,3109,1%,0%,,,,
CFSAN002050_RS24335,accessory_gene,1254,,,,chromosome partitioning protein ParA,11,50,0,3094,2%,0%,,,,
CFSAN002050_RS24340,accessory_gene,2682,,K12063,traC,AAA family ATPase,11,44,0,3100,1%,0%,,,,
CFSAN002050_RS24345,accessory_gene,951,,,,protein TraV,10,44,0,3100,1%,0%,,,,
CFSAN002050_RS24350,accessory_gene,885,,,,Thiol:disulfide involved in conjugative transfer,5,29,0,3115,1%,0%,,,,
CFSAN002050_RS24355,accessory_gene,483,,,,transcriptional regulator,6,29,0,3115,1%,0%,,,,
CFSAN002050_RS24360,accessory_gene,1356,,K12065,traB,conjugal transfer protein TraB,11,44,0,3100,1%,0%,,,,
CFSAN002050_RS24365,accessory_gene,462,,,,HtdO,4,28,0,3116,1%,0%,,,,
CFSAN002050_RS24370,accessory_gene,1272,,K12066,traK,TrhK,8,44,0,3100,1%,0%,,,,
CFSAN002050_RS24380,accessory_gene,318,,K12068,traL,plasmid transfer protein,7,43,0,3101,1%,0%,,,,
CFSAN002050_RS24385,accessory_gene,354,,,,pili assembly chaperone,5,44,0,3100,1%,0%,,,,
CFSAN002050_RS24390,accessory_gene,876,,,,RepHI1A,7,42,0,3102,1%,0%,,,,
CFSAN002050_RS24400,accessory_gene,201,,,,hypothetical protein,3,27,0,3117,1%,0%,,,,
CFSAN002050_RS24405,accessory_gene,717,,,,hypothetical protein,8,26,0,3118,1%,0%,,,,
CFSAN002050_RS24410,accessory_gene,834,,,,hypothetical protein,6,27,0,3117,1%,0%,,,,
CFSAN002050_RS24415,accessory_gene,774,2.1.1.72,K06223,dam,DNA modification methylase,5,24,1,3119,1%,4%,,,,
CFSAN002050_RS24430,accessory_gene,177,,,,hypothetical protein,4,25,0,3119,1%,0%,,,,
CFSAN002050_RS24440,accessory_gene,282,,,,membrane protein,6,20,0,3124,1%,0%,,,,
CFSAN002050_RS24445,accessory_gene,627,,,,hypothetical protein,6,24,0,3120,1%,0%,,,,
CFSAN002050_RS24450,accessory_gene,2457,,,,Conjugative transfer protein 123,12,40,0,3104,1%,0%,,,,
CFSAN002050_RS24455,accessory_gene,1056,,,,repFIB replication A domain protein,9,34,0,3110,1%,0%,,,,
CFSAN002050_RS24465,accessory_gene,291,,K07075,,DNA polymerase,1,7,0,3137,0%,0%,,,,
CFSAN002050_RS24475,accessory_gene,357,,,,cupin,2,7,0,3137,0%,0%,,,,
CFSAN002050_RS24480,accessory_gene,315,,,,hypothetical protein,1,3,0,3141,0%,0%,,,,
CFSAN002050_RS24485,accessory_gene,534,,,,endonuclease,7,25,0,3119,1%,0%,,,,
CFSAN002050_RS24490,accessory_gene,996,,K03196,virB11,conjugal transfer protein TraG,5,27,0,3117,1%,0%,,,,
CFSAN002050_RS24495,accessory_gene,1161,,K03195,virB10,conjugal transfer protein TraF,6,27,0,3117,1%,0%,,,,
CFSAN002050_RS24500,accessory_gene,822,,K03204,virB9,type IV secretion system protein,10,33,0,3111,1%,0%,,,,
CFSAN002050_RS24505,accessory_gene,699,,K03203,virB8,type IV secretion of T-DNA VirB8,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24560,accessory_gene,2421,,,,Conjugative transfer protein 123,7,25,0,3119,1%,0%,,,,
CFSAN002050_RS24575,accessory_gene,762,,,,hypothetical protein,7,25,0,3119,1%,0%,,,,
CFSAN002050_RS24580,accessory_gene,765,,,,hypothetical protein,4,24,0,3120,1%,0%,,,,
CFSAN002050_RS24585,accessory_gene,525,,,,hypothetical protein,7,16,1,3127,1%,6%,,,,
CFSAN002050_RS24595,accessory_gene,258,,,,hypothetical protein,3,17,0,3127,1%,0%,,,,
CFSAN002050_RS24605,accessory_gene,252,,,,hypothetical protein,2,17,0,3127,1%,0%,,,,
CFSAN002050_RS24610,accessory_gene,2418,,,,Conjugative transfer protein 123,9,21,1,3122,1%,5%,,,,
CFSAN002050_RS24615,accessory_gene,471,,,,hypothetical protein,5,24,0,3120,1%,0%,,,,
CFSAN002050_RS24620,accessory_gene,297,,K07334,higA,toxin-plasmid maintenance system killer protein,5,39,0,3105,1%,0%,,,,
CFSAN002050_RS24625,accessory_gene,1182,,,,hypothetical protein,8,22,1,3121,1%,4%,,,,
CFSAN002050_RS24635,accessory_gene,429,,,,hypothetical protein,7,24,0,3120,1%,0%,,,,
CFSAN002050_RS24640,accessory_gene,258,,,,hypothetical protein,5,24,0,3120,1%,0%,,,,
CFSAN002050_RS24645,accessory_gene,609,,,,hypothetical protein,3,24,0,3120,1%,0%,,,,
CFSAN002050_RS24650,accessory_gene,1251,2.1.1.113,K00590,,DNA methyltransferase,5,24,0,3120,1%,0%,,,,
CFSAN002050_RS24665,accessory_gene,321,,,,hypothetical protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS24670,accessory_gene,327,,,,hypothetical protein,4,24,0,3120,1%,0%,,,,
CFSAN002050_RS24675,accessory_gene,258,,,,hypothetical protein,3,24,0,3120,1%,0%,,,,
CFSAN002050_RS24680,accessory_gene,792,,,,hypothetical protein,6,24,0,3120,1%,0%,,,,
CFSAN002050_RS24685,accessory_gene,450,,,,hypothetical protein,5,20,0,3124,1%,0%,,,,
CFSAN002050_RS24690,accessory_gene,2385,,,,phosphoadenosine phosphosulfate reductase,13,32,0,3112,1%,0%,,,,
CFSAN002050_RS24695,accessory_gene,240,,,,hypothetical protein,3,24,0,3120,1%,0%,,,,
CFSAN002050_RS24700,accessory_gene,312,,,,Phage EaD protein,6,29,0,3115,1%,0%,,,,
CFSAN002050_RS24710,accessory_gene,534,,,,HNH endonuclease,4,21,0,3123,1%,0%,,,,
CFSAN002050_RS24715,accessory_gene,609,,,,hypothetical protein,7,20,0,3124,1%,0%,,,,
CFSAN002050_RS24725,accessory_gene,786,,,,toxic anion resistance protein TelA,3,9,0,3135,0%,0%,,,,
CFSAN002050_RS24730,accessory_gene,1113,,,,tellurium resistance protein,4,9,0,3135,0%,0%,,,,
CFSAN002050_RS24735,accessory_gene,894,,,,KlaC inner membrane protein,3,12,0,3132,0%,0%,,,,
CFSAN002050_RS24740,accessory_gene,228,,,,hypothetical protein,6,25,0,3119,1%,0%,,,,
CFSAN002050_RS24745,accessory_gene,321,,,,hypothetical protein,6,25,0,3119,1%,0%,,,,
CFSAN002050_RS24750,accessory_gene,312,,,,Enterobacterial protein of uncharacterised function (DUF957),6,40,0,3104,1%,0%,,,,
CFSAN002050_RS24755,accessory_gene,492,,,,hypothetical protein,4,25,0,3119,1%,0%,,,,
CFSAN002050_RS24760,accessory_gene,204,,,,membrane protein,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24765,accessory_gene,225,,,,hypothetical protein,5,41,0,3103,1%,0%,,,,
CFSAN002050_RS24770,accessory_gene,201,,,,hypothetical protein,7,25,1,3118,1%,4%,,,,
CFSAN002050_RS24775,accessory_gene,312,,,,hypothetical protein,5,25,0,3119,1%,0%,,,,
CFSAN002050_RS24780,accessory_gene,282,,,,hypothetical protein,5,40,1,3103,1%,2%,,,,
CFSAN002050_RS24785,accessory_gene,606,,,,hypothetical protein,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24790,accessory_gene,522,,K07483,,transposase,4,13,0,3131,0%,0%,,,,
CFSAN002050_RS24805,accessory_gene,321,,,,hypothetical protein,2,14,0,3130,0%,0%,,,,
CFSAN002050_RS24810,accessory_gene,204,,,,hypothetical protein,5,25,1,3118,1%,4%,,,,
CFSAN002050_RS24815,accessory_gene,351,,,,hypothetical protein,3,26,0,3118,1%,0%,,,,
CFSAN002050_RS24820,accessory_gene,600,,,,hypothetical protein,6,25,0,3119,1%,0%,,,,
CFSAN002050_RS24825,accessory_gene,945,,,,hypothetical protein,6,25,0,3119,1%,0%,,,,
CFSAN002050_RS24835,accessory_gene,1185,,,,DNA-binding protein,8,25,0,3119,1%,0%,,,,
CFSAN002050_RS24840,accessory_gene,282,,,,hypothetical protein,6,25,1,3118,1%,4%,,,,
CFSAN002050_RS24845,accessory_gene,702,,,,membrane protein,4,13,0,3131,0%,0%,,,,
CFSAN002050_RS24855,accessory_gene,438,,,,hypothetical protein,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24860,accessory_gene,537,,,,hypothetical protein,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24865,accessory_gene,369,,,,hypothetical protein,5,26,0,3118,1%,0%,,,,
CFSAN002050_RS24875,accessory_gene,285,,,,membrane protein,5,26,0,3118,1%,0%,,,,
CFSAN002050_RS24880,accessory_gene,354,,,,hypothetical protein,4,41,0,3103,1%,0%,,,,
CFSAN002050_RS24885,accessory_gene,732,,,,nuclease,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS24890,accessory_gene,1182,3.4.21.-,K04773,sppA,peptidase,11,41,0,3103,1%,0%,,,,
CFSAN002050_RS24895,accessory_gene,663,,,,TraJ,8,41,0,3103,1%,0%,,,,
CFSAN002050_RS24900,accessory_gene,1110,,,,hypothetical protein,7,26,0,3118,1%,0%,,,,
CFSAN002050_RS24905,accessory_gene,2085,,K12071,traD,membrane protein,10,42,0,3102,1%,0%,,,,
CFSAN002050_RS24910,accessory_gene,3147,,K12070,traI,helicase,10,27,0,3117,1%,0%,,,,
CFSAN002050_RS24915,accessory_gene,738,,,,hypothetical protein,8,42,0,3102,1%,0%,,,,
CFSAN002050_RS24920,accessory_gene,486,,,,"plasmid transfer protein, partial",8,44,0,3100,1%,0%,,,,
CFSAN002050_RS24925,accessory_gene,801,,,,trhR,11,44,0,3100,1%,0%,,,,
CFSAN002050_RS24930,accessory_gene,513,,,,TrhY,11,41,1,3102,1%,2%,,,,
CFSAN002050_RS24935,accessory_gene,1047,,K12057,traF,conjugal transfer protein TraF,10,41,0,3103,1%,0%,,,,
CFSAN002050_RS24940,accessory_gene,1416,,K12072,traH,conjugal transfer protein,9,41,0,3103,1%,0%,,,,
CFSAN002050_RS24965,accessory_gene,540,,,,lytic transglycosylase,5,23,0,3121,1%,0%,,,,
CFSAN002050_RS24970,accessory_gene,750,5.3.4.1,K03981,dsbC,thiol:disulfide interchange protein,8,42,0,3102,1%,0%,,,,
CFSAN002050_RS24975,accessory_gene,393,,,,hypothetical protein,5,24,0,3120,1%,0%,,,,
CFSAN002050_RS24985,accessory_gene,612,,,,lipoprotein,10,40,0,3104,1%,0%,,,,
CFSAN002050_RS24990,accessory_gene,783,,,,outer membrane protein,13,41,0,3103,1%,0%,,,,
CFSAN002050_RS24995,accessory_gene,1260,,K03502,umuC,DNA polymerase V subunit UmuC,14,40,0,3104,1%,0%,,,,
CFSAN002050_RS25000,accessory_gene,435,3.4.21.-,K03503,umuD,protein mucA',7,39,0,3105,1%,0%,,,,
CFSAN002050_RS25005,accessory_gene,204,,,,hypothetical protein,7,23,1,3120,1%,4%,,,,
CFSAN002050_RS25010,accessory_gene,609,,,,hypothetical protein,4,20,0,3124,1%,0%,,,,
CFSAN002050_RS25015,accessory_gene,354,,,,hypothetical protein,5,10,0,3134,0%,0%,,,,
CFSAN002050_RS25025,accessory_gene,516,,,,hypothetical protein,10,14,0,3130,0%,0%,,,,
CFSAN002050_RS25030,accessory_gene,492,,,,hypothetical protein,4,7,0,3137,0%,0%,,,,
CFSAN002050_RS25035,accessory_gene,318,,,,hypothetical protein,5,20,0,3124,1%,0%,,,,
CFSAN002050_RS25045,accessory_gene,306,,,,hypothetical protein,3,10,0,3134,0%,0%,,,,
CFSAN002050_RS25050,accessory_gene,198,,,,hypothetical protein,2,10,0,3134,0%,0%,,,,
CFSAN002050_RS25055,accessory_gene,276,,,,hypothetical protein,2,9,0,3135,0%,0%,,,,
CFSAN002050_RS25060,accessory_gene,198,,,,membrane protein,4,19,0,3125,1%,0%,,,,
CFSAN002050_RS25065,accessory_gene,288,,,,hypothetical protein,6,26,0,3118,1%,0%,,,,
CFSAN002050_RS25070,accessory_gene,255,,,,hypothetical protein,7,23,1,3120,1%,4%,,,,
CFSAN002050_RS25075,accessory_gene,258,,,,hypothetical protein,5,17,0,3127,1%,0%,,,,
CFSAN002050_RS25080,accessory_gene,897,,,,hypothetical protein,8,27,0,3117,1%,0%,,,,
CFSAN002050_RS25085,accessory_gene,516,,,,exported nuclease,7,61,0,3083,2%,0%,,,,
CFSAN002050_RS25090,accessory_gene,1428,2.1.1.37,K00558,dcm,DNA cytosine methyltransferase,9,26,0,3118,1%,0%,,,,
CFSAN002050_RS25095,accessory_gene,168,,,,hypothetical protein,2,27,0,3117,1%,0%,,,,
CFSAN002050_RS25105,accessory_gene,204,,,,Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain,3,27,0,3117,1%,0%,,,,
CFSAN002050_RS25110,accessory_gene,1206,,,,ATP/GTP-binding protein,8,28,0,3116,1%,0%,,,,
CFSAN002050_RS25115,accessory_gene,819,,,,hypothetical protein,8,29,0,3115,1%,0%,,,,
CFSAN002050_RS25145,accessory_gene,1620,2.7.8.-,K03760,eptA,hydrolase,1,8,0,3136,0%,0%,,,,
CFSAN002050_RS25150,accessory_gene,477,,,,protein WbuC,2,9,0,3135,0%,0%,,,,
CFSAN002050_RS25155,accessory_gene,1350,2.7.13.3,K07645,qseC,two-component sensor histidine kinase,2,3,0,3141,0%,0%,,,,
CFSAN002050_RS25160,accessory_gene,669,,K07666,qseB,DNA-binding response regulator,2,3,0,3141,0%,0%,,,,
CFSAN002050_RS25185,accessory_gene,330,,,,toxin-antitoxin system toxin component,57,159,3,2982,5%,2%,,,,
CFSAN002050_RS25190,accessory_gene,282,,,,transcriptional regulator,48,162,0,2982,5%,0%,,,,
CFSAN002050_RS25200,accessory_gene,753,,,,membrane protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25205,accessory_gene,2217,1.8.1.2,K00380,cysJ,nitric oxide synthase,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25210,accessory_gene,474,,,,Tat pathway signal protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25215,accessory_gene,381,,,,hypothetical protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25220,accessory_gene,1317,,,,ferric reductase,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25225,accessory_gene,666,,K07771,basR,DNA-binding response regulator,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25230,accessory_gene,1326,2.7.13.3,K07645,qseC,two-component sensor histidine kinase,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25235,accessory_gene,1140,,,,AraC family transcriptional regulator,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25240,accessory_gene,582,,,,hypothetical protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25245,accessory_gene,1425,,,,transposase,2,2,0,3142,0%,0%,,,,
CFSAN002050_RS25265,accessory_gene,1011,1.20.1.1,K18916,ptxD,2-hydroxyacid dehydrogenase,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25270,accessory_gene,861,,K04761,oxyR,LysR family transcriptional regulator,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25275,accessory_gene,756,,,,ATPase AAA,2,2,0,3142,0%,0%,,,,
CFSAN002050_RS25280,accessory_gene,1542,,,,integrase,2,2,0,3142,0%,0%,,,,
CFSAN002050_RS25285,accessory_gene,243,,,,hypothetical protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25290,accessory_gene,903,,,,WYL domain-containing protein,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25295,accessory_gene,1599,,,,transcriptional antiterminator,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25340,accessory_gene,924,,,,cation transporter,2,9,0,3135,0%,0%,,,,
CFSAN002050_RS25345,accessory_gene,573,,,,hypothetical protein,1,9,0,3135,0%,0%,,,,
CFSAN002050_RS25350,accessory_gene,1239,,,,transposase,17,48,2,3094,2%,4%,,,,
CFSAN002050_RS25375,accessory_gene,1134,,,,AraC family transcriptional regulator,1,1,0,3143,0%,0%,,,,
CFSAN002050_RS25405,accessory_gene,927,,,,hypothetical protein,17,85,1,3058,3%,1%,,,,
CFSAN002050_RS25425,accessory_gene,381,,,,hypothetical protein,7,18,1,3125,1%,5%,,,,
CFSAN002050_RS25430,accessory_gene,666,,,,hypothetical protein,6,18,0,3126,1%,0%,,,,
CFSAN002050_RS25445,accessory_gene,405,,K03746,hns,DNA-binding protein,7,31,0,3113,1%,0%,,,,
CFSAN002050_RS25455,accessory_gene,204,,,,hypothetical protein,5,20,0,3124,1%,0%,,,,
CFSAN002050_RS25460,accessory_gene,858,,,,unknown,5,15,0,3129,0%,0%,,,,
CFSAN002050_RS25465,accessory_gene,309,,,,hypothetical protein,6,18,0,3126,1%,0%,,,,
CFSAN002050_RS25470,accessory_gene,426,,,,hypothetical protein,5,24,0,3120,1%,0%,,,,
CFSAN002050_RS25480,accessory_gene,411,,,,hypothetical protein,5,21,1,3122,1%,5%,,,,
CFSAN002050_RS25500,accessory_gene,1389,,,,hypothetical protein,4,10,0,3134,0%,0%,,,,
CFSAN002050_RS25505,accessory_gene,498,,,,membrane protein,3,12,0,3132,0%,0%,,,,
